"datasetName","decimalLongitude","decimalLatitude","depth","scientificName"
"gbif",-61.262099,16.253288,NA,"Acanthurus chirurgus"
"gbif",-87.3,20.449999,NA,"Acanthurus chirurgus"
"gbif",-80.954399,22.043801,NA,"Acanthurus chirurgus"
"gbif",-80.95538,22.043711,NA,"Acanthurus chirurgus"
"gbif",-61.77671,17.010545,NA,"Acanthurus chirurgus"
"gbif",-80.035193,21.734165,NA,"Acanthurus chirurgus"
"gbif",-79.206631,25.421112,NA,"Acanthurus chirurgus"
"gbif",-80.752525,24.842288,NA,"Acanthurus chirurgus"
"gbif",-80.752687,24.842317,NA,"Acanthurus chirurgus"
"gbif",-68.276959,12.139269,NA,"Acanthurus chirurgus"
"gbif",-68.282533,12.060088,NA,"Acanthurus chirurgus"
"gbif",-82.92111,24.634922,NA,"Acanthurus chirurgus"
"gbif",-88.085632,16.769367,NA,"Acanthurus chirurgus"
"gbif",-80.042331,26.78291,NA,"Acanthurus chirurgus"
"gbif",-61.77778,16.16972,NA,"Acanthurus chirurgus"
"gbif",-61.5725,16.36333,NA,"Acanthurus chirurgus"
"gbif",-61.0818,14.491,NA,"Acanthurus chirurgus"
"gbif",-77.094479,25.17469,NA,"Acanthurus chirurgus"
"gbif",-77.110357,25.020634,NA,"Acanthurus chirurgus"
"gbif",-77.104066,25.146061,NA,"Acanthurus chirurgus"
"gbif",-80.922325,24.777503,NA,"Acanthurus chirurgus"
"gbif",-80.124557,26.203996,NA,"Acanthurus chirurgus"
"gbif",-60.55082,11.330798,NA,"Acanthurus chirurgus"
"gbif",-61.088573,14.506752,NA,"Acanthurus chirurgus"
"gbif",-81.42001,19.375142,NA,"Acanthurus chirurgus"
"gbif",-77.167381,18.434489,NA,"Acanthurus chirurgus"
"gbif",-80.029964,25.644776,NA,"Acanthurus chirurgus"
"gbif",-89.68606,22.377275,NA,"Acanthurus chirurgus"
"gbif",-89.682834,22.387754,NA,"Acanthurus chirurgus"
"gbif",-89.685822,22.379309,NA,"Acanthurus chirurgus"
"gbif",-89.68524,22.378353,NA,"Acanthurus chirurgus"
"gbif",-89.680159,22.385136,NA,"Acanthurus chirurgus"
"gbif",-89.680147,22.384957,NA,"Acanthurus chirurgus"
"gbif",-89.680386,22.384907,NA,"Acanthurus chirurgus"
"gbif",-80.043317,26.782532,NA,"Acanthurus chirurgus"
"gbif",-80.297527,25.123254,NA,"Acanthurus chirurgus"
"gbif",-64.600472,18.353527,NA,"Acanthurus chirurgus"
"gbif",-86.890885,16.091973,NA,"Acanthurus chirurgus"
"gbif",-81.218545,24.685508,NA,"Acanthurus chirurgus"
"gbif",-86.89172,16.091273,NA,"Acanthurus chirurgus"
"gbif",-77.447285,25.074122,NA,"Acanthurus chirurgus"
"gbif",-61.178719,14.734118,NA,"Acanthurus chirurgus"
"gbif",-64.652946,32.350674,NA,"Acanthurus chirurgus"
"gbif",-82.039557,9.251682,NA,"Acanthurus chirurgus"
"gbif",-86.717556,21.20485,NA,"Acanthurus chirurgus"
"gbif",-87.374887,20.279789,NA,"Acanthurus chirurgus"
